"도시별","품목성질별",2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"전국","총지수",78.010,81.656,83.906,86.373,89.850,91.815,93.010,94.196,94.861,95.783,97.645,99.086,99.466,100.00,102.50,107.72,111.59,114.18
"전국","상품",76.440,81.225,83.903,87.816,92.762,95.653,96.631,97.530,96.856,96.274,98.120,99.419,99.130,100.00,103.12,110.02,114.43,117.21
"전국","농축수산물",64.229,64.545,68.704,75.606,82.529,85.137,84.587,82.316,83.947,87.169,91.957,95.328,93.733,100.00,108.73,112.82,116.28,123.10
"전국","공업제품",78.265,84.394,86.515,89.243,93.639,96.279,97.143,98.418,98.202,97.723,99.128,100.385,100.224,100.00,102.29,109.33,112.18,113.90
"전국","전기 · 가스 · 수도",-,-,-,103.928,108.864,114.298,119.489,124.116,114.931,104.353,102.880,99.891,101.387,100.00,97.90,110.20,132.46,137.06
"전국","서비스",78.834,81.755,83.720,85.288,87.569,88.841,90.204,91.611,93.300,95.396,97.268,98.827,99.745,100.00,101.95,105.70,109.15,111.59
"전국","집세",77.646,79.406,80.647,82.160,85.412,89.014,91.383,93.527,95.907,97.694,99.271,99.885,99.783,100.00,101.38,103.26,103.75,104.00
"전국","공공서비스",91.838,94.092,95.936,97.092,96.672,97.190,97.844,98.576,99.782,101.240,102.223,102.433,101.942,100.00,100.96,101.73,103.03,104.76
"전국","개인서비스",74.053,77.521,79.687,81.431,84.457,85.346,86.703,88.169,89.857,92.304,94.630,97.019,98.814,100.00,102.55,108.11,113.32,116.71
"서울특별시","총지수",77.252,80.466,82.838,85.162,88.412,90.605,91.869,93.300,94.470,95.585,97.494,98.799,99.382,100.00,102.10,106.69,110.88,113.50
"서울특별시","상품",76.095,80.356,83.599,87.022,91.648,94.593,95.654,96.854,96.714,96.086,97.995,98.868,98.755,100.00,102.40,108.61,114.22,117.35
"서울특별시","농축수산물",65.911,65.879,70.136,75.901,82.207,84.572,83.128,80.868,83.425,86.541,92.974,95.673,92.937,100.00,107.86,111.67,115.80,124.14
"서울특별시","공업제품",76.958,82.527,85.324,87.799,91.816,94.385,95.505,97.119,97.842,97.718,98.660,99.578,99.897,100.00,101.51,107.43,111.35,113.12
"서울특별시","전기 · 가스 · 수도",-,-,-,104.927,110.521,116.948,122.581,127.783,116.394,103.955,102.933,99.726,101.541,100.00,97.66,112.30,136.92,141.60
"서울특별시","서비스",77.770,80.413,82.312,84.065,86.412,88.112,89.505,91.085,93.077,95.264,97.171,98.755,99.787,100.00,101.89,105.33,108.66,110.97
"서울특별시","집세",73.337,75.528,77.088,78.945,82.359,85.828,88.279,90.754,93.574,95.904,97.917,98.935,99.258,100.00,101.61,103.35,103.88,104.40
"서울특별시","공공서비스",90.929,93.016,94.862,95.957,95.477,96.900,97.600,98.230,99.893,101.421,102.209,102.459,102.442,100.00,100.80,101.51,103.82,106.08
"서울특별시","개인서비스",74.343,77.387,79.472,81.449,84.374,85.290,86.444,87.971,89.690,92.102,94.468,96.953,98.815,100.00,102.51,108.11,113.36,116.65
"부산광역시","총지수",76.906,80.547,82.996,85.550,89.363,91.502,92.852,94.019,94.807,95.929,97.639,99.343,99.824,100.00,102.46,107.35,111.33,114.12
"부산광역시","상품",74.963,79.595,82.683,86.660,91.420,94.618,95.949,96.674,96.686,96.375,97.970,99.499,99.358,100.00,103.01,109.41,113.83,116.74
"부산광역시","농축수산물",63.756,63.869,69.387,76.707,83.643,86.980,87.529,84.518,86.150,89.391,93.013,97.364,95.724,100.00,108.79,112.59,115.36,123.35
"부산광역시","공업제품",77.069,83.257,85.321,88.005,92.008,94.925,95.998,97.364,98.010,97.573,98.882,100.039,100.137,100.00,102.03,108.63,111.89,113.59
"부산광역시","전기 · 가스 · 수도",-,-,-,101.038,105.701,111.049,116.215,120.596,111.890,103.359,102.059,99.908,101.377,100.00,97.82,108.91,129.52,132.94
"부산광역시","서비스",78.303,81.218,83.215,84.680,87.743,89.004,90.373,91.899,93.322,95.571,97.370,99.221,100.195,100.00,101.99,105.58,109.22,111.91
"부산광역시","집세",80.594,81.314,82.544,84.514,88.937,93.777,95.999,97.126,98.120,99.193,100.272,100.607,100.129,100.00,100.87,102.27,102.43,101.74
"부산광역시","공공서비스",93.244,95.128,96.756,97.571,98.474,98.489,99.153,100.562,100.991,101.722,102.858,103.517,102.649,100.00,100.75,101.68,103.38,106.17
"부산광역시","개인서비스",72.057,75.646,77.869,79.433,83.146,84.264,85.776,87.418,89.327,92.390,94.583,97.195,99.194,100.00,102.78,108.04,113.29,116.73
